Relative Ranking,Team,O-Rate,D-Rate,Relative Rating,Opponent Adjust,Pace Adjust,Off Rank,Def Rank,True Tempo,Tempo Rank,Injury Rank,Home Rank,Roster Rank,Kill Shots Per Game,Kill Shots Conceded Per Game,Kill Shots Margin Per Game,Total Kill Shots,Total Kill Shots Conceded,D1 Wins,D1 Losses
1,Michigan,17.5,17.5,35.0,0.03,0.03,3,1,72.0,21,1,118,1,1.12,0.09,1.03,37,3,31,2
2,Duke,17.4,17.3,34.7,0.03,-0.05,4,2,67.1,273,2,291,2,1.06,0.24,0.82,36,8,32,2
3,Arizona,15.6,16.5,32.0,0.03,-0.05,10,4,71.4,28,3,28,6,1.00,0.06,0.94,34,2,32,2
4,Florida,16.0,15.8,31.8,0.03,0.03,8,6,71.6,24,4,245,4,0.94,0.15,0.79,31,5,26,7
5,Houston,14.6,17.1,31.7,-0.05,-0.05,13,3,64.9,356,5,45,5,1.12,0.32,0.79,38,11,28,6
6,Illinois,20.0,9.9,29.9,-0.05,-0.05,2,21,67.1,276,6,216,7,1.13,0.22,0.91,36,7,24,8
7,Iowa State,13.5,16.0,29.5,-0.05,0.03,18,5,68.3,198,7,48,10,1.24,0.47,0.76,42,16,27,7
8,Purdue,21.3,7.5,28.8,-0.05,0.03,1,32,65.6,338,8,288,3,0.88,0.44,0.44,30,15,26,8
9,Connecticut,15.2,12.9,28.1,0.03,-0.05,11,12,65.4,344,9,224,8,0.53,0.24,0.29,18,8,29,5
10,Gonzaga,12.3,14.5,26.8,-0.05,0.03,25,8,70.4,69,12,94,12,1.09,0.36,0.73,36,12,30,3
11,Michigan State,13.7,12.7,26.5,0.03,-0.05,16,13,67.2,264,10,74,16,0.66,0.19,0.47,21,6,25,7
12,St. John's,11.1,14.9,26.1,0.03,0.03,33,7,70.8,53,11,95,13,0.74,0.21,0.53,25,7,28,6
13,Vanderbilt,17.1,8.5,25.6,0.03,0.03,5,29,70.0,97,13,75,11,0.79,0.18,0.61,26,6,26,7
14,Virginia,12.7,11.6,24.4,0.03,0.03,24,15,66.9,283,14,100,23,0.94,0.21,0.74,32,7,29,5
15,Tennessee,11.2,12.4,23.5,-0.05,-0.05,32,14,66.2,309,15,38,21,0.64,0.18,0.45,21,6,22,11
16,Arkansas,17.0,6.2,23.2,-0.05,0.03,7,50,71.5,27,16,30,14,0.82,0.27,0.55,27,9,25,8
17,Alabama,17.0,5.7,22.8,-0.05,0.03,6,55,74.3,2,17,188,15,0.44,0.41,0.03,14,13,23,9
18,Louisville,12.9,9.6,22.5,-0.05,0.03,22,22,70.9,48,21,33,9,1.00,0.33,0.67,33,11,23,10
19,Nebraska,8.2,14.1,22.3,0.03,0.03,52,10,68.0,224,18,173,32,0.91,0.28,0.63,29,9,26,6
20,Wisconsin,15.8,6.5,22.3,0.03,-0.05,9,46,69.1,152,19,69,28,0.76,0.32,0.44,26,11,24,10
21,Kansas,8.8,13.4,22.2,-0.05,0.03,48,11,68.7,174,20,5,18,0.52,0.45,0.06,17,15,23,10
22,Ohio State,14.6,6.2,20.9,-0.05,-0.05,12,51,67.5,245,22,159,17,0.55,0.33,0.21,18,11,21,12
23,Saint Mary's,9.7,10.7,20.4,-0.05,-0.05,43,19,66.1,318,23,21,45,0.74,0.13,0.61,23,4,26,5
24,UCLA,13.1,7.2,20.3,-0.05,-0.05,20,37,66.0,323,24,18,22,0.56,0.47,0.09,19,16,23,11
25,Kentucky,10.7,9.5,20.2,-0.05,-0.05,35,23,69.8,105,25,26,20,0.62,0.38,0.24,21,13,21,13
26,Iowa,12.1,8.0,20.1,-0.05,-0.05,29,31,64.8,359,26,62,26,0.73,0.52,0.21,24,17,21,12
27,Cincinnati,4.8,14.2,19.0,0.03,0.03,81,9,68.3,195,27,35,31,0.82,0.45,0.36,27,15,18,15
28,Miami (Fla.),11.6,7.2,18.8,-0.05,0.03,31,38,68.8,167,28,287,24,0.73,0.24,0.48,24,8,25,8
